Lutz Heuser,SAP Corporate Research Walldorf,2009,The Relevance of Management of Business Processes and Orchestration,no Author no Title,no Date,0,0,1
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"R. P Jagadeesh Chandra Bose, Wil M. P. van der Aalst, Indre Žliobaite, and Mykola Pechenizkiy. ",2014,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"R. P Jagadeesh Chandra Bose, Wil M. P. van der Aalst, Indre Žliobaite, and Mykola Pechenizkiy. ",2014,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Josep Carmona , Ricard Gavaldà, Online techniques for dealing with concept drift in process mining, Proceedings of the 11th international conference on Advances in Intelligent Data Analysis, October 25-27, ",2012,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Josep Carmona , Ricard Gavaldà, Online techniques for dealing with concept drift in process mining, Proceedings of the 11th international conference on Advances in Intelligent Data Analysis, October 25-27, ",2012,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Josep Carmona , Ricard Gavaldà, Online techniques for dealing with concept drift in process mining, Proceedings of the 11th international conference on Advances in Intelligent Data Analysis, October 25-27, ",2012,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Bill Curtis , Marc I. Kellner , Jim Over, Process modeling, Communications of the ACM, v.35 n.9, p.75-90, Sept. ",1992,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Bill Curtis , Marc I. Kellner , Jim Over, Process modeling, Communications of the ACM, v.35 n.9, p.75-90, Sept. ",1992,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Bill Curtis , Marc I. Kellner , Jim Over, Process modeling, Communications of the ACM, v.35 n.9, p.75-90, Sept. ",1992,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Christian W. Günther , Stefanie Rinderle , Manfred Reichert , Wil van der Aalst, Change mining in adaptive process management systems, Proceedings of the ",2006,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Christian W. Günther , Stefanie Rinderle , Manfred Reichert , Wil van der Aalst, Change mining in adaptive process management systems, Proceedings of the ",2006,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Christian W. Günther , Stefanie Rinderle , Manfred Reichert , Wil van der Aalst, Change mining in adaptive process management systems, Proceedings of the ",2006,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Shen-Shyang Ho, A martingale framework for concept change detection in time-varying data streams, Proceedings of the 22nd international conference on Machine learning, p.321-327, August 07-11, ",2005,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Shen-Shyang Ho, A martingale framework for concept change detection in time-varying data streams, Proceedings of the 22nd international conference on Machine learning, p.321-327, August 07-11, ",2005,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Shen-Shyang Ho, A martingale framework for concept change detection in time-varying data streams, Proceedings of the 22nd international conference on Machine learning, p.321-327, August 07-11, ",2005,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"B F A Hompes, J C A M Buijs, and Wil M. P. van der Aalst. ",2015,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"B F A Hompes, J C A M Buijs, and Wil M. P. van der Aalst. ",2015,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"B F A Hompes, J C A M Buijs, and Wil M. P. van der Aalst. ",2015,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"""IEEE Task Force on Process Mining"". ",2011,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"""IEEE Task Force on Process Mining"". ",2011,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"""IEEE Task Force on Process Mining"". ",2011,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Geetika T. Lakshmanan , Paul T. Keyser , Songyun Duan, Detecting changes in a semi-structured business process through spectral graph analysis, Proceedings of the ",2011,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Geetika T. Lakshmanan , Paul T. Keyser , Songyun Duan, Detecting changes in a semi-structured business process through spectral graph analysis, Proceedings of the ",2011,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Geetika T. Lakshmanan , Paul T. Keyser , Songyun Duan, Detecting changes in a semi-structured business process through spectral graph analysis, Proceedings of the ",2011,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Sander J.J. Leemans, Dirk Fahland, and Wil M.P. van der Aalst. ",2014,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Sander J.J. Leemans, Dirk Fahland, and Wil M.P. van der Aalst. ",2014,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Sander J.J. Leemans, Dirk Fahland, and Wil M.P. van der Aalst. ",2014,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Abderrahmane Maaradji , Marlon Dumas , Marcello Rosa , Alireza Ostovar, Fast and Accurate Business Process Drift Detection, Proceedings of the 13th International Conference on Business Process Management, August 31-September 03, ",2015,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Abderrahmane Maaradji , Marlon Dumas , Marcello Rosa , Alireza Ostovar, Fast and Accurate Business Process Drift Detection, Proceedings of the 13th International Conference on Business Process Management, August 31-September 03, ",2015,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Abderrahmane Maaradji , Marlon Dumas , Marcello Rosa , Alireza Ostovar, Fast and Accurate Business Process Drift Detection, Proceedings of the 13th International Conference on Business Process Management, August 31-September 03, ",2015,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"M. V. Manoj Kumar, Likewin Thomas, and B. Annappa. ",2015,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"M. V. Manoj Kumar, Likewin Thomas, and B. Annappa. ",2015,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"M. V. Manoj Kumar, Likewin Thomas, and B. Annappa. ",2015,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,John H. McDonald. ,2009,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,John H. McDonald. ,2009,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,John H. McDonald. ,2009,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Timo Nolle, Alexander Seeliger, and Max Mühlhäuser. ",2016,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Timo Nolle, Alexander Seeliger, and Max Mühlhäuser. ",2016,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Timo Nolle, Alexander Seeliger, and Max Mühlhäuser. ",2016,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alireza Ostovar, Abderrahmane Maaradji, Marcello La Rosa, Arthur H. M. ter Hofstede, and Boudewijn F. V. van Dongen. ",2016,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alireza Ostovar, Abderrahmane Maaradji, Marcello La Rosa, Arthur H. M. ter Hofstede, and Boudewijn F. V. van Dongen. ",2016,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alireza Ostovar, Abderrahmane Maaradji, Marcello La Rosa, Arthur H. M. ter Hofstede, and Boudewijn F. V. van Dongen. ",2016,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Manfred Reichert, Clemens Hensinger, and Peter Dadam. ",1998,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Manfred Reichert, Clemens Hensinger, and Peter Dadam. ",1998,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Manfred Reichert, Clemens Hensinger, and Peter Dadam. ",1998,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Stefanie Rinderle , Manfred Reichert , Peter Dadam, Correctness criteria for dynamic changes in workflow systems: a survey, Data &amp; Knowledge Engineering, v.50 n.1, p.9-34, July ",2004,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Stefanie Rinderle , Manfred Reichert , Peter Dadam, Correctness criteria for dynamic changes in workflow systems: a survey, Data &amp; Knowledge Engineering, v.50 n.1, p.9-34, July ",2004,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Stefanie Rinderle , Manfred Reichert , Peter Dadam, Correctness criteria for dynamic changes in workflow systems: a survey, Data &amp; Knowledge Engineering, v.50 n.1, p.9-34, July ",2004,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alexander Seeliger, Timo Nolle, Benedikt Schmidt, and Max Mühlhäuser. ",2016,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alexander Seeliger, Timo Nolle, Benedikt Schmidt, and Max Mühlhäuser. ",2016,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Alexander Seeliger, Timo Nolle, Benedikt Schmidt, and Max Mühlhäuser. ",2016,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Suriadi Suriadi, Chun Ouyang, Wil M. P. van der Aalst, and Arthur H. M. ter Hofstede. ",2013,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Suriadi Suriadi, Chun Ouyang, Wil M. P. van der Aalst, and Arthur H. M. ter Hofstede. ",2013,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"Suriadi Suriadi, Chun Ouyang, Wil M. P. van der Aalst, and Arthur H. M. ter Hofstede. ",2013,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Wil M. P. van der Aalst, Process Mining: Discovery, Conformance and Enhancement of Business Processes, Springer Publishing Company, Incorporated, ",2011,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Wil M. P. van der Aalst, Process Mining: Discovery, Conformance and Enhancement of Business Processes, Springer Publishing Company, Incorporated, ",2011,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Wil M. P. van der Aalst, Process Mining: Discovery, Conformance and Enhancement of Business Processes, Springer Publishing Company, Incorporated, ",2011,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Evgeniy Vasilyev , Diogo R. Ferreira , Junichi Iijima, Using Inductive Reasoning to Find the Cause of Process Delays, Proceedings of the ",2013,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Evgeniy Vasilyev , Diogo R. Ferreira , Junichi Iijima, Using Inductive Reasoning to Find the Cause of Process Delays, Proceedings of the ",2013,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Evgeniy Vasilyev , Diogo R. Ferreira , Junichi Iijima, Using Inductive Reasoning to Find the Cause of Process Delays, Proceedings of the ",2013,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"H. M W Verbeek, Joos CAM Buijs, Boudewijn F. Van Dongen, and Wil M. P. van der Aalst. ",2011,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"H. M W Verbeek, Joos CAM Buijs, Boudewijn F. Van Dongen, and Wil M. P. van der Aalst. ",2011,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"H. M W Verbeek, Joos CAM Buijs, Boudewijn F. Van Dongen, and Wil M. P. van der Aalst. ",2011,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"a. J. M. M. Weijters, Wil M. P. van der Aalst, and a. K. Alves De Medeiros. ",2006,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"a. J. M. M. Weijters, Wil M. P. van der Aalst, and a. K. Alves De Medeiros. ",2006,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"a. J. M. M. Weijters, Wil M. P. van der Aalst, and a. K. Alves De Medeiros. ",2006,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Michael Werner , Nick Gehrke , Markus Nuttgens, Business Process Mining and Reconstruction for Financial Audits, Proceedings of the ",2012,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Michael Werner , Nick Gehrke , Markus Nuttgens, Business Process Mining and Reconstruction for Financial Audits, Proceedings of the ",2012,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Michael Werner , Nick Gehrke , Markus Nuttgens, Business Process Mining and Reconstruction for Financial Audits, Proceedings of the ",2012,0,0,0
Alexander Seeliger,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Gerhard Widmer , Miroslav Kubat, Learning in the presence of concept drift and hidden contexts, Machine Learning, v.23 n.1, p.69-101, April ",1996,0,0,0
Timo Nolle,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Gerhard Widmer , Miroslav Kubat, Learning in the presence of concept drift and hidden contexts, Machine Learning, v.23 n.1, p.69-101, April ",1996,0,0,0
Max Mühlhäuser,"Technische Universität Darmstadt, Telecooperation Lab, Darmstadt, Germany",Detecting Concept Drift in Processes using Graph Metrics on Process Graphs,2017,"
Gerhard Widmer , Miroslav Kubat, Learning in the presence of concept drift and hidden contexts, Machine Learning, v.23 n.1, p.69-101, April ",1996,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Berztiss, A. ",1996,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Hugh Beyer, Contextual Design: Defining Customer-Centered Systems, Morgan Kaufmann Publishers Inc., San Francisco, CA, ",1997,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Bulu, S.T. and Pedersen, S. ",2010,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Caporale, T. ",2016,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Dennen, V.P. ",2004,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Anke Dittmar , Peter Forbrig , Simone Heftberger , Chris Stary, Support for task modeling: a ”constructive” exploration, Proceedings of the ",2004,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Jacqueline Floch , Svein Hallsteinsen , Erlend Stav , Frank Eliassen , Ketil Lund , Eli Gjorven, Using Architecture Models for Runtime Adaptability, IEEE Software, v.23 n.2, p.62-70, March ",2006,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Floyd, C. ",1984,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Forster, S., Pinggera, J. and Weber, B. ",2013,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Front, A., Rieu, D., Santorum, M. and Movahedian, F. ",2015,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Björn Hartmann , Loren Yu , Abel Allison , Yeonsoo Yang , Scott R. Klemmer, Design as exploration: creating interface alternatives through parallel authoring and runtime tuning, Proceedings of the 21st annual ACM symposium on User interface software and technology, October 19-22, ",2008,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Herrmann, T. and Loser, K.-U. ",2013,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Herrmann, T., Hoffmann, M., Kunau, G. and Loser, K.U. ",2002,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Thomas Herrmann , Gabriele Kunau , Kai-Uwe Loser , Natalja Menold, Socio-technical walkthrough: designing technology along work processes, Proceedings of the eighth conference on Participatory design: Artful integration: interweaving media, materials and practices, July 27-31, ",2004,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Herrmann, T., Loser, K.U. and Jahnke, I. ",2007,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Hjalmarsson, A., Recker, J.C., Rosemann, M. and Lind, M. ",2015,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
H. Holbrook, III, A scenario-based methodology for conducting requirements elicitation, ACM SIGSOFT Software Engineering Notes, v.15 n.1, p.95-104, Jan ",1990,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Nurul Farhana Jumaat , Zaidatun Tasir, Instructional Scaffolding in Online Learning Environment: A Meta-analysis, Proceedings of the ",2014,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Finn Kensing , Jeanette Blomberg, Participatory Design: Issues and Concerns, Computer Supported Cooperative Work, v.7 n.3-4, p.167-185, ",1998,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Agnes Koschmider , Thomas Hornung , Andreas Oberweis, Recommendation-based editor for business process modeling, Data &amp; Knowledge Engineering, v.70 n.6, p.483-503, June, ",2011,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
 Giulio Mori , Fabio Paternò , Carmen Santoro, CTTE: support for developing and analyzing task models for interactive system design, IEEE Transactions on Software Engineering, v.28 n.8, p.797-813, August ",2002,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Neumann, G., Sobernig, S. and Aram, M. ",2014,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Jakob Nielsen, Iterative User-Interface Design, Computer, v.26 n.11, p.32-41, November ",1993,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Stefan Oppl, Articulation of subject-oriented business process models, Proceedings of the 7th International Conference on Subject-Oriented Business Process Management, p.1-11, April 23-24, ",2015,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Stefan Oppl, Articulation of work process models for organizational alignment and informed information system design, Information and Management, v.53 n.5, p.591-608, July ",2016,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Oppl, S. and Hoppenbrouwers, S. ",2016,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Oppl, S., Stary, C. and Vogl, S. ",2016,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
David Pinelle , Carl Gutwin, Groupware walkthrough: adding context to groupware usability evaluation, Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, April 20-25, ",2002,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Peter G. Polson , Clayton Lewis , John Rieman , Cathleen Wharton, Cognitive walkthroughs: a method for theory-based evaluation of user interfaces, International Journal of Man-Machine Studies, v.36 n.5, p.741-773, May ",1992,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"Reichert, M. and Dadam, P. ",2009,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Colette Rolland , Selmin Nurcan , Georges Grosz, A Unified Framework for Modeling Cooperative Design Processes and Cooperative Business Processes, Proceedings of the Thirty-First Annual Hawaii International Conference on System Sciences-Volume 5, p.376, January 06-09, ",1998,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Flávia Maria Santoro , Marcos R. S. Borges , José A. Pino, Acquiring knowledge on business processes from stakeholders' stories, Advanced Engineering Informatics, v.24 n.2, p.138-148, April, ",2010,0,0,0
Stefan Oppl,"Department of Software Science, Radboud University Nijmegen, NL",Business Process Elaboration through Virtual Enactment,2017,"
Stephan Schiffner , Thomas Rothschädl , Nils Meyer, Towards a Subject-Oriented Evolutionary Business Information System, Proceedings of the ",2014,0,0,0
